type,date,value,value_kwh,standing_charge,charge_per_kwh,value_gbp
gas,2024-06-25,0.7220000000000001,8.039766020000002,0.2852,0.061,0.7756257272200001
gas,2024-06-26,1.3159999999999998,14.654199559999999,0.2852,0.061,1.1791061731599999
gas,2024-06-27,0.9090000000000003,10.122087690000003,0.2852,0.061,0.9026473490900001
gas,2024-06-28,0.7400000000000001,8.240203400000002,0.2852,0.061,0.7878524074000002
gas,2024-06-29,1.0070000000000001,11.213357870000001,0.2852,0.061,0.9692148300700001
gas,2024-06-30,1.1889999999999996,13.240002489999997,0.2852,0.061,1.09284015189
gas,2024-07-01,1.2369999999999999,13.774502169999998,0.2852,0.061,1.1254446323699998
gas,2024-07-02,0.9190000000000003,10.233441790000002,0.2852,0.061,0.9094399491900002
gas,2024-07-03,1.1350000000000002,12.638690350000003,0.2852,0.061,1.05616011135
gas,2024-07-04,0.7830000000000001,8.719026030000002,0.2852,0.061,0.8170605878300001
gas,2024-07-05,1.355,15.08848055,0.2852,0.061,1.20559731355
gas,2024-07-06,0.9550000000000003,10.634316550000003,0.2852,0.061,0.9338933095500002
gas,2024-07-07,0.9660000000000001,10.75680606,0.2852,0.061,0.9413651696600001
gas,2024-07-08,0.35000000000000003,3.8973935000000006,0.2852,0.061,0.5229410035000001
gas,2024-07-09,0.8740000000000001,9.732348340000001,0.2852,0.061,0.8788732487400001
gas,2024-07-10,1.3149999999999997,14.643064149999997,0.2852,0.061,1.1784269131499998
gas,2024-07-11,0.5920000000000001,6.592162720000001,0.2852,0.061,0.6873219259200001
gas,2024-07-12,1.3240000000000003,14.743282840000003,0.2852,0.061,1.1845402532400002
gas,2024-07-13,0.39100000000000007,4.353945310000001,0.2852,0.061,0.5507906639100001
gas,2024-07-14,0.323,3.59673743,0.2852,0.061,0.50460098323
gas,2024-07-15,0.35400000000000004,3.9419351400000004,0.2852,0.061,0.52565804354
gas,2024-07-16,0.527,5.868361070000001,0.2852,0.061,0.6431700252700001
gas,2024-07-17,1.6589999999999998,18.47364519,0.2852,0.061,1.41209235659
gas,2024-07-18,1.1540000000000001,12.850263140000003,0.2852,0.061,1.0690660515400001
gas,2024-07-19,1.1229999999999998,12.505065429999998,0.2852,0.061,1.04800899123
gas,2024-07-20,0.946,10.53409786,0.2852,0.061,0.92777996946
gas,2024-07-21,1.3499999999999996,15.032803499999996,0.2852,0.061,1.2022010134999999
gas,2024-07-22,0.8840000000000001,9.843702440000001,0.2852,0.061,0.8856658488400001
gas,2024-07-23,1.4019999999999995,15.611844819999995,0.2852,0.061,1.2375225340199996
gas,2024-07-24,0.9520000000000003,10.600910320000004,0.2852,0.061,0.9318555295200003
gas,2024-07-25,0.7060000000000001,7.861599460000001,0.2852,0.061,0.76475756706
gas,2024-07-26,1.0899999999999996,12.137596899999997,0.2852,0.061,1.0255934108999998
gas,2024-07-27,1.1729999999999998,13.061835929999999,0.2852,0.061,1.08197199173
gas,2024-07-28,0.6530000000000001,7.271422730000002,0.2852,0.061,0.7287567865300002
gas,2024-07-29,1.4510000000000003,16.157479910000003,0.2852,0.061,1.2708062745100002
gas,2024-07-30,0.8420000000000001,9.376015220000001,0.2852,0.061,0.8571369284200001
gas,2024-07-31,0.7420000000000002,8.262474220000003,0.2852,0.061,0.7892109274200002
gas,2024-08-01,0.7630000000000001,8.496317830000002,0.2852,0.061,0.8034753876300001
gas,2024-08-02,1.0879999999999996,12.115326079999996,0.2852,0.061,1.0242348908799999
gas,2024-08-03,0.9670000000000001,10.767941470000002,0.2852,0.061,0.9420444296700001
gas,2024-08-04,0.7820000000000003,8.707890620000002,0.2852,0.061,0.8163813278200002
gas,2024-08-05,0.8200000000000002,9.131036200000002,0.2852,0.061,0.8421932082000001
gas,2024-08-06,1.0999999999999999,12.248950999999998,0.2852,0.061,1.0323860109999998
gas,2024-08-07,0.633,7.04871453,0.2852,0.061,0.71517158633
gas,2024-08-08,1.631,18.16185371,0.2852,0.061,1.3930730763099999
gas,2024-08-09,1.108,12.33803428,0.2852,0.061,1.03782009108
gas,2024-08-10,1.2240000000000002,13.629741840000003,0.2852,0.061,1.1166142522400002
gas,2024-08-11,0.534,5.946308940000001,0.2852,0.061,0.64792484534
gas,2024-08-12,0.078,0.8685619800000001,0.2852,0.061,0.33818228078
gas,2024-08-13,0.091,1.01332231,0.2852,0.061,0.34701266091
gas,2024-08-14,0.077,0.85742657,0.2852,0.061,0.33750302077
gas,2024-08-15,0.089,0.9910514899999999,0.2852,0.061,0.34565414089
gas,2024-08-16,0.091,1.01332231,0.2852,0.061,0.34701266091
gas,2024-08-17,0.089,0.9910514899999999,0.2852,0.061,0.34565414089
gas,2024-08-18,0.102,1.13581182,0.2852,0.061,0.35448452102
gas,2024-08-19,0.088,0.97991608,0.2852,0.061,0.34497488088
gas,2024-08-20,0.103,1.1469472299999999,0.2852,0.061,0.35516378103
gas,2024-08-21,0.10099999999999999,1.12467641,0.2852,0.061,0.35380526101
gas,2024-08-22,0.102,1.13581182,0.2852,0.061,0.35448452102
gas,2024-08-23,0.104,1.15808264,0.2852,0.061,0.35584304104
gas,2024-08-24,0.09999999999999999,1.113541,0.2852,0.061,0.353126001
gas,2024-08-25,0.11099999999999999,1.23603051,0.2852,0.061,0.36059786111000003
gas,2024-08-26,0.1,1.1135410000000001,0.2852,0.061,0.353126001
gas,2024-08-27,1.3129999999999997,14.620793329999998,0.2852,0.061,1.17706839313
gas,2024-08-28,0.7200000000000003,8.017495200000004,0.2852,0.061,0.7742672072000003
gas,2024-08-29,1.0179999999999998,11.335847379999999,0.2852,0.061,0.9766866901799999
gas,2024-08-30,0.9760000000000002,10.868160160000002,0.2852,0.061,0.9481577697600001
gas,2024-08-31,1.2430000000000003,13.841314630000005,0.2852,0.061,1.1295201924300002
gas,2024-09-01,1.3980000000000001,15.567303180000001,0.2852,0.061,1.2348054939800002
gas,2024-09-02,0.7460000000000001,8.307015860000002,0.2852,0.061,0.79192796746
gas,2024-09-03,1.081,12.03737821,0.2852,0.061,1.01948007081
gas,2024-09-04,0.9070000000000003,10.099816870000003,0.2852,0.061,0.9012888290700002
gas,2024-09-05,0.8840000000000001,9.843702440000001,0.2852,0.061,0.8856658488400001
gas,2024-09-06,0.7530000000000001,8.38496373,0.2852,0.061,0.7966827875300001
gas,2024-09-07,1.644,18.30661404,0.2852,0.061,1.40190345644
gas,2024-09-08,1.2710000000000001,14.153106110000001,0.2852,0.061,1.14853947271
gas,2024-09-09,0.7630000000000001,8.496317830000002,0.2852,0.061,0.8034753876300001
gas,2024-09-10,2.1719999999999993,24.186110519999993,0.2852,0.061,1.7605527417199993
gas,2024-09-11,2.1409999999999996,23.840912809999995,0.2852,0.061,1.7394956814099998
gas,2024-09-12,2.8839999999999995,32.114522439999995,0.2852,0.061,2.24418586884
gas,2024-09-13,2.7800000000000002,30.956439800000002,0.2852,0.061,2.1735428278
gas,2024-09-14,2.7329999999999997,30.433075529999996,0.2852,0.061,2.1416176073299997
gas,2024-09-15,3.4249999999999994,38.13877924999999,0.2852,0.061,2.6116655342499997
gas,2024-09-16,1.25,13.9192625,0.2852,0.061,1.1342750124999998
gas,2024-09-17,1.348,15.01053268,0.2852,0.061,1.2008424934800002
gas,2024-09-18,1.04,11.580826400000001,0.2852,0.061,0.9916304104000001
gas,2024-09-19,0.8110000000000002,9.030817510000002,0.2852,0.061,0.8360798681100001
gas,2024-09-20,1.0510000000000002,11.703315910000002,0.2852,0.061,0.9991022705100001
gas,2024-09-21,1.202,13.38476282,0.2852,0.061,1.10167053202
gas,2024-09-22,1.4629999999999999,16.29110483,0.2852,0.061,1.27895739463
gas,2024-09-23,1.236,13.76336676,0.2852,0.061,1.12476537236
gas,2024-09-24,1.3189999999999995,14.687605789999996,0.2852,0.061,1.1811439531899999
gas,2024-09-25,0.8830000000000005,9.832567030000005,0.2852,0.061,0.8849865888300004
gas,2024-09-26,1.625999999999999,18.10617665999999,0.2852,0.061,1.389676776259999
gas,2024-09-27,2.052,22.849861320000002,0.2852,0.061,1.67904154052
